New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
477, 3, 4.4, 5, -513.5
478, 8, 4.7, 10, -525.0
479, 2, 5, 5, -529.5
480, 8, 5, 10, -529.5
481, 8, 5, 15, -529.5
482, 8, 5, 20, -529.5
483, 2, 5, 15, -529.5
484, 8, 5, 20, -529.5
485, 5, 5, 20, -529.5
486, 8, 5, 25, -529.5
487, 8, 5, 30, -529.5
488, 8, 5, 35, -529.5
489, 5, 5, 35, -529.5
490, 5, 5, 35, -529.5
491, 5, 5, 35, -529.5
492, 5, 5, 35, -529.5
493, 5, 5, 35, -529.5
494, 5, 5, 35, -529.5
495, 5, 5, 35, -529.5
496, 2, 5, 30, -529.5
497, 2, 5, 25, -529.5
498, 1, 5, 20, -529.5
499, 7, 5, 25, -529.5
